task,horizon,model,companies,mean_r2_oos,mean_rmse,mean_mae,mean_qlike
excess_return,1,boost_full,4,-0.02803553891413349,0.13214690186969888,0.10106437319200168,
excess_return,1,core_ridge,4,-0.050826139071273424,0.13356855174487167,0.102331949836101,
excess_return,1,historical_mean,4,0.0,0.13024525332911321,0.09988880421310757,
excess_return,1,ridge_full,4,-0.05546421577259569,0.1338340642654343,0.10295630803420788,
excess_return,1,zero,4,-0.026045044556082475,0.13192973456779095,0.09912870356899736,
return,1,A1_market,4,-0.11999900161478114,0.1483060207620492,0.11525497618258414,
return,1,A2_financial,4,-0.1429176266886647,0.14998577494706966,0.11647389039735048,
return,1,A3_valuation,4,-0.10889764430287935,0.14785890357968967,0.11505052721195423,
return,1,A4_momentum,4,-0.08446212055815738,0.14622090592740314,0.11422080056644396,
return,1,A5_risk,4,-0.10008106735508926,0.14727078961130008,0.11532601444372853,
return,1,A6_industry,4,-0.08978175844809982,0.14660054205138226,0.11527780947397753,
return,1,A7_business,4,-0.07037458647998551,0.14520758105107884,0.11419767498487822,
return,1,A8_transform,4,-0.07108069802474581,0.1452818710200795,0.11504438448903594,
return,1,A9_interaction,4,-0.07190261179681451,0.1453369289096063,0.11482651383432424,
return,1,P1_financial,4,-0.14182781319400473,0.15007880122442846,0.1169115235057679,
return,1,P2_valuation,4,-0.11807817107002816,0.1484452932479905,0.11467227652808971,
return,1,P3_transform,4,-0.10191769630327091,0.14731439288544723,0.1149946352519504,
return,1,P4_market,4,-0.10119968863432449,0.14727892712160484,0.1162528622141767,
return,1,P5_industry,4,-0.07680140112629685,0.14571623002473655,0.11553425755436705,
return,1,P6_business,4,-0.07108069802474581,0.1452818710200795,0.11504438448903594,
return,1,ar1,4,0.010020602570091713,0.13961805138276873,0.1097896390596628,
return,1,arimax,4,-0.08391972031138084,0.1458767484354066,0.1171703117474501,
return,1,arma_static,4,-0.05096680217897556,0.14387896366206387,0.11570385937765013,
return,1,arx,4,-0.039833598958712996,0.14309828005999847,0.11523725255627158,
return,1,boost_full,4,-0.047057395250556466,0.14364576372899462,0.11197686730726236,
return,1,business_pair_ridge,4,-0.0669947322242152,0.14495173473624134,0.11302355377663667,
return,1,capm_style,4,-0.023882796595052602,0.14202739088522295,0.1117493243254503,
return,1,claims_proxy_sensitivity,4,-0.07416260114806539,0.14549202397699457,0.1150459122205463,
return,1,core_financial_changes,4,-0.014126482304119475,0.14139719947298257,0.11152250606217616,
return,1,core_ols,4,-0.050966556680809766,0.143878947554646,0.11570384470166396,
return,1,core_pe_difference,4,-0.03524745104294513,0.14276259916395628,0.1124467664417937,
return,1,core_pe_lag1,4,-0.035245038216372815,0.14283437404618712,0.11251024193547712,
return,1,core_pe_level,4,-0.03776615899664959,0.14302011174256424,0.11241208002662774,
return,1,core_pe_percentage,4,-0.02647303303553794,0.14216999791920823,0.11166927329133546,
return,1,core_ridge,4,-0.046261755117234155,0.14356320298673356,0.1143916633150687,
return,1,distributed_all_lag1,4,-0.07379711513143772,0.14546517826688313,0.11472672049620375,
return,1,distributed_all_lag3,4,-0.15292928375025333,0.15063759968723633,0.118473068142448,
return,1,distributed_lag1,4,-0.06631987203567258,0.14490673698059828,0.11515518080743055,
return,1,distributed_lag3,4,-0.1151354429423399,0.14823677794140916,0.11667061690707957,
return,1,elastic_full,4,-0.0560553292635223,0.14428748167972258,0.11512196406951182,
return,1,financial_only,4,-0.14182781319400473,0.15007880122442846,0.1169115235057679,
return,1,financial_valuation,4,-0.11807817107002816,0.1484452932479905,0.11467227652808971,
return,1,forest_full,4,-0.01548377029430828,0.14147762311125905,0.11006069234924776,
return,1,historical_mean,4,0.0,0.14036202349398422,0.11028273802500638,
return,1,lasso_full,4,-0.026899835868735067,0.14226744613501557,0.11252609102313468,
return,1,market_mean,4,-0.04309493520073071,0.14335561070033762,0.11156231842075204,
return,1,mine_inclusive_fcf,1,-0.07616546533693747,0.13834490638868208,0.10496223343253865,
return,1,panel_company_effects,4,-0.03280732199532235,0.14260070174080275,0.112947672012988,
return,1,pooled_boost,4,-0.008904367474987018,0.1409898097279643,0.11067829577160926,
return,1,pooled_forest,4,-0.014973982579906786,0.14141087113328227,0.11054846345674867,
return,1,pooled_ridge,4,-0.042882307086682225,0.14325331626846577,0.11239367964146363,
